tanggal,jam,suhu_celsius,hari_libur,jumlah_penghuni,jumlah_perangkat_aktif,jam_penggunaan_rata_rata,konsumsi_kwh
1993-09-16,17,30.32,0,3,9,7.62,18.536
1993-09-17,10,29.95,0,1,4,7.71,12.994
1993-09-18,16,30.15,0,1,8,8.37,16.527
1993-09-19,14,29.21,0,2,9,8.4,17.783
1993-09-20,18,29.0,0,4,11,8.61,20.444
1993-09-21,20,27.87,0,5,9,7.44,19.29
1993-09-22,18,29.68,0,1,14,8.01,18.739
1993-09-23,19,28.24,0,5,7,6.46,17.516
1993-09-24,21,30.03,0,1,6,7.34,12.527
1993-09-25,21,28.94,0,2,8,10.93,18.601
1993-09-26,6,28.33,0,5,4,8.96,17.549
1993-09-27,21,28.53,0,6,13,8.82,21.993
1993-09-28,21,29.21,0,5,5,8.1,17.777
1993-09-29,15,31.74,0,1,15,9.36,22.937
1993-09-30,5,31.37,0,6,8,6.32,24.333
1993-10-01,18,28.68,0,3,6,9.63,14.147
1993-10-02,17,30.14,0,2,9,9.85,17.328
1993-10-03,17,27.91,0,1,14,10.1,18.569
1993-10-04,22,29.42,0,5,7,8.16,18.843
1993-10-05,21,29.52,0,6,11,8.02,20.453
1993-10-06,20,27.48,0,3,7,8.0,14.766
1993-10-07,20,29.5,0,1,11,6.71,16.527
1993-10-08,17,28.71,0,4,15,7.79,20.722
1993-10-09,18,29.31,0,4,5,10.04,19.491
1993-10-10,10,30.75,1,6,12,11.11,27.503
1993-10-11,17,27.23,0,6,3,8.93,15.038
1993-10-12,21,29.15,0,3,15,9.94,19.043
1993-10-13,19,26.83,0,5,9,7.96,18.049
1993-10-14,18,26.05,0,2,8,9.17,14.212
1993-10-15,21,29.48,0,4,8,6.15,17.621
1993-10-16,5,27.08,0,6,11,10.35,20.325
1993-10-17,5,29.66,0,6,7,8.44,20.23
1993-10-18,21,28.59,0,6,9,8.71,19.177
1993-10-19,18,30.55,0,3,6,9.41,20.705
1993-10-20,20,27.85,0,5,10,7.59,17.14
1993-10-21,11,29.29,0,6,11,8.87,24.152
1993-10-22,8,28.63,0,5,8,6.55,15.995
1993-10-23,19,25.74,0,6,3,11.16,17.77
1993-10-24,18,30.79,0,1,3,8.31,15.497
1993-10-25,12,30.07,0,3,8,9.84,17.445
1993-10-26,22,27.69,0,3,14,6.94,17.722
1993-10-27,20,24.31,0,6,5,8.61,15.462
1993-10-28,17,29.37,0,2,5,9.5,15.01
1993-10-29,13,27.82,0,4,11,7.91,17.523
1993-10-30,19,27.38,0,3,5,9.75,15.244
1993-10-31,13,28.46,0,4,15,7.64,20.664
1993-11-01,18,26.77,0,1,6,6.26,12.087
1993-11-02,17,27.54,0,4,14,7.54,18.345
1993-11-03,17,26.49,0,6,6,7.58,17.614
1993-11-04,17,26.26,0,1,5,8.03,10.443
1993-11-05,18,28.8,0,4,13,9.36,17.647
1993-11-06,21,25.49,0,2,14,8.41,19.83
1993-11-07,20,25.98,0,3,8,10.35,17.31
1993-11-08,17,28.06,0,1,4,6.75,9.677
1993-11-09,18,24.23,0,3,6,8.28,14.423
1993-11-10,16,28.96,1,6,9,8.15,20.207
1993-11-11,22,27.54,0,2,14,7.82,18.777
1993-11-12,11,26.1,0,6,4,9.2,17.719
1993-11-13,21,28.39,0,4,7,7.81,17.448
1993-11-14,18,26.56,0,3,11,10.33,20.713
1993-11-15,21,27.73,0,1,10,6.5,14.094
1993-11-16,22,27.4,0,5,4,6.02,15.804
1993-11-17,12,28.61,0,3,4,9.59,13.5
1993-11-18,17,27.0,0,4,12,8.38,19.106
1993-11-19,22,24.51,0,2,3,8.38,11.722
1993-11-20,15,25.88,0,6,5,9.08,19.591
1993-11-21,22,28.76,0,2,12,11.43,19.655
1993-11-22,20,26.2,0,4,7,7.63,15.896
1993-11-23,10,26.42,0,1,11,6.6,15.448
1993-11-24,13,25.24,0,2,7,8.93,14.152
1993-11-25,23,26.77,0,1,12,8.92,14.683
1993-11-26,22,26.34,0,4,12,9.19,20.638
1993-11-27,21,29.63,0,3,3,11.42,16.836
1993-11-28,11,27.03,0,5,11,9.93,20.034
1993-11-29,19,28.25,0,4,15,7.87,20.836
1993-11-30,17,26.78,0,3,7,8.74,15.685
1993-12-01,11,25.25,0,2,4,9.01,13.133
1993-12-02,20,24.67,0,2,9,7.87,15.028
1993-12-03,22,25.13,0,1,15,8.61,17.253
1993-12-04,19,26.28,0,1,7,11.01,15.93
1993-12-05,22,24.91,0,3,15,7.79,19.758
1993-12-06,22,22.79,0,2,13,8.47,16.807
1993-12-07,14,26.56,0,3,5,9.41,14.673
1993-12-08,12,24.17,0,5,13,9.04,22.394
1993-12-09,19,25.5,0,3,4,9.58,12.897
1993-12-10,19,25.28,0,2,11,7.8,16.788
1993-12-11,21,28.11,0,4,14,8.86,19.051
1993-12-12,22,25.86,0,2,3,11.05,13.876
1993-12-13,19,29.13,0,3,9,8.15,17.073
1993-12-14,19,26.95,0,1,4,9.81,12.136
1993-12-15,17,24.52,0,1,6,6.12,11.87
1993-12-16,19,26.95,0,6,3,7.6,15.571
1993-12-17,22,22.0,0,1,13,8.97,16.783
1993-12-18,5,24.41,0,1,10,8.87,17.955
1993-12-19,15,26.12,0,4,13,8.35,20.27
1993-12-20,22,26.04,0,3,10,7.12,16.944
1993-12-21,17,26.12,0,3,4,8.53,12.544
1993-12-22,13,24.48,0,6,12,8.64,21.199
1993-12-23,23,26.71,0,4,7,6.71,15.793
1993-12-24,21,23.88,0,6,6,9.0,17.182
1993-12-25,21,25.24,1,2,6,11.29,17.251
1993-12-26,18,26.47,0,5,4,9.54,17.739
1993-12-27,18,25.83,0,3,7,7.63,14.916
1993-12-28,20,26.9,0,1,4,8.65,10.401
1993-12-29,22,28.03,0,1,13,9.44,16.835
1993-12-30,7,25.44,0,5,12,7.13,19.457
1993-12-31,16,26.44,0,6,10,8.81,19.661
1994-01-01,18,25.8,1,4,3,11.4,17.254
1994-01-02,11,26.51,0,4,8,11.0,19.676
1994-01-03,18,26.78,0,3,7,8.18,14.938
1994-01-04,11,24.6,0,5,6,9.65,17.294
1994-01-05,21,23.87,0,6,15,9.05,20.614
1994-01-06,19,27.92,0,4,11,7.16,17.651
1994-01-07,21,27.87,0,4,11,9.44,18.688
1994-01-08,21,24.07,0,3,13,10.86,19.103
1994-01-09,22,25.32,0,5,8,8.27,20.042
1994-01-10,22,29.86,0,6,15,9.92,25.53
1994-01-11,22,25.73,0,1,9,8.65,12.689
1994-01-12,18,26.6,0,1,8,8.21,13.391
1994-01-13,22,24.62,0,5,3,8.07,14.968
1994-01-14,18,27.05,0,2,7,7.84,14.095
1994-01-15,19,23.94,0,1,7,10.83,16.171
1994-01-16,18,26.83,0,2,12,10.71,18.935
1994-01-17,17,25.68,0,6,14,6.61,19.659
1994-01-18,6,26.23,0,2,3,7.75,11.241
1994-01-19,8,28.2,0,1,7,6.59,11.714
1994-01-20,20,25.14,0,3,13,6.37,17.452
1994-01-21,20,25.59,0,5,5,9.0,13.798
1994-01-22,21,22.52,0,4,5,10.51,16.521
1994-01-23,20,27.05,0,1,3,9.09,12.267
1994-01-24,23,24.67,0,2,8,7.57,12.03
1994-01-25,18,23.38,0,6,11,8.62,18.275
1994-01-26,13,24.03,0,5,10,9.31,18.498
1994-01-27,19,23.78,0,1,7,7.04,12.145
1994-01-28,17,23.1,0,3,10,7.54,14.943
1994-01-29,21,26.78,0,4,11,7.76,17.486
1994-01-30,6,25.03,0,5,11,8.19,21.408
1994-01-31,6,25.12,0,3,9,6.86,14.259
1994-02-01,17,24.11,0,1,5,6.4,11.11
1994-02-02,22,25.35,0,3,11,7.28,15.79
1994-02-03,21,28.93,0,3,6,8.44,14.681
1994-02-04,7,22.0,1,6,12,7.96,20.389
1994-02-05,17,27.5,0,6,12,10.78,21.577
1994-02-06,11,26.3,0,6,3,11.29,18.626
1994-02-07,18,24.7,0,5,15,7.99,21.216
1994-02-08,20,26.02,0,6,13,6.51,21.059
1994-02-09,21,27.86,0,5,14,8.36,22.206
1994-02-10,22,25.65,0,3,7,9.73,14.049
1994-02-11,11,27.0,0,6,10,7.85,18.492
1994-02-12,19,26.72,0,4,3,7.88,15.589
1994-02-13,15,25.72,0,6,5,9.75,17.539
1994-02-14,20,26.58,0,2,5,8.68,14.041
1994-02-15,20,25.03,0,1,15,8.32,18.809
1994-02-16,5,26.15,0,1,4,8.97,9.995
1994-02-17,22,26.81,0,3,3,9.15,14.623
1994-02-18,10,26.87,0,6,3,6.64,12.962
1994-02-19,21,26.03,0,2,15,11.35,19.541
1994-02-20,12,25.74,0,2,10,7.9,17.292
1994-02-21,22,25.3,0,4,15,8.43,19.915
1994-02-22,21,23.92,0,3,14,9.35,19.84
1994-02-23,19,28.46,0,1,3,8.08,10.48
1994-02-24,19,24.89,0,5,4,8.47,16.144
1994-02-25,19,26.19,0,6,5,6.56,14.898
1994-02-26,12,27.08,0,3,5,10.74,16.473
1994-02-27,17,26.77,0,6,14,10.04,24.156
1994-02-28,22,25.02,0,3,7,9.83,14.86
1994-03-01,19,27.2,0,4,14,6.18,19.253
1994-03-02,7,28.72,0,6,15,8.14,22.264
1994-03-03,10,25.49,0,5,8,6.25,16.148
1994-03-04,23,26.46,0,2,5,6.38,12.64
1994-03-05,16,23.64,0,1,15,10.87,19.839
1994-03-06,15,26.77,0,1,8,11.1,16.812
1994-03-07,18,22.0,0,3,8,7.55,16.265
1994-03-08,19,24.36,0,3,10,7.78,17.779
1994-03-09,20,25.2,0,2,5,6.82,12.006
1994-03-10,22,26.91,0,2,14,6.95,16.931
1994-03-11,9,25.33,0,1,5,8.27,11.619
1994-03-12,20,26.87,0,4,9,9.97,20.315
1994-03-13,20,28.18,0,1,4,8.4,12.697
1994-03-14,20,25.83,0,6,4,6.73,15.615
1994-03-15,22,24.82,1,1,8,8.41,14.691
1994-03-16,17,24.82,0,2,13,7.99,16.944
1994-03-17,22,25.58,0,2,15,7.95,18.502
1994-03-18,18,24.19,0,3,6,8.55,16.47
1994-03-19,21,28.58,0,3,14,9.4,20.903
1994-03-20,13,25.74,0,5,14,10.05,22.743
1994-03-21,18,29.05,0,3,11,8.69,18.814
1994-03-22,20,27.89,0,3,7,8.95,14.05
1994-03-23,7,23.79,0,3,4,6.79,12.471
1994-03-24,17,26.23,0,5,10,9.82,21.082
1994-03-25,8,27.18,0,2,9,9.53,14.733
1994-03-26,19,27.86,0,5,13,8.09,20.637
1994-03-27,19,26.54,0,5,10,10.32,20.931
1994-03-28,20,24.88,0,3,4,7.79,12.546
1994-03-29,21,28.63,0,2,5,7.87,13.212
1994-03-30,18,29.68,0,2,5,6.52,14.549
1994-03-31,11,23.72,0,6,6,9.05,17.191
1994-04-01,23,23.85,0,3,11,8.45,16.969
1994-04-02,20,26.16,0,3,8,7.82,17.057
1994-04-03,15,27.66,0,3,8,9.71,19.441
1994-04-04,17,25.43,0,2,13,9.39,17.342
1994-04-05,12,28.17,0,6,4,7.07,15.706
1994-04-06,18,24.28,0,6,10,7.19,18.115
1994-04-07,12,26.11,0,2,12,9.34,16.3
1994-04-08,19,28.18,0,2,13,7.06,16.156
1994-04-09,9,25.35,0,1,8,8.6,14.756
1994-04-10,16,28.2,0,6,8,8.51,19.94
1994-04-11,9,24.97,0,5,13,6.02,16.628
1994-04-12,19,27.71,0,2,5,8.08,12.698
1994-04-13,19,24.8,0,1,5,6.76,10.687
1994-04-14,7,25.19,0,5,14,8.57,21.362
1994-04-15,22,27.79,0,6,6,6.98,16.754
1994-04-16,19,29.05,0,3,9,8.3,18.806
1994-04-17,22,27.69,0,3,5,10.71,15.884
1994-04-18,22,27.37,0,2,4,9.78,11.492
1994-04-19,5,27.96,0,2,6,6.65,13.435
1994-04-20,6,29.28,0,3,14,9.4,20.975
1994-04-21,10,29.18,0,2,10,8.48,16.752
1994-04-22,17,28.03,0,1,15,8.91,17.442
1994-04-23,21,25.44,0,6,3,10.5,18.367
1994-04-24,21,25.45,0,2,9,9.52,15.978
1994-04-25,9,26.97,0,3,13,8.95,18.207
1994-04-26,20,25.42,0,3,13,9.84,21.545
1994-04-27,17,26.17,0,6,7,7.9,16.852
1994-04-28,16,28.2,0,4,14,7.14,17.724
1994-04-29,18,28.11,0,3,13,9.08,19.948
1994-04-30,22,28.49,0,6,13,7.6,21.792
1994-05-01,6,29.83,1,5,9,8.89,23.331
1994-05-02,15,27.82,0,3,15,6.2,17.044
1994-05-03,9,27.28,0,2,6,8.13,15.144
1994-05-04,7,25.51,0,3,3,9.83,11.481
1994-05-05,14,28.52,0,4,4,7.8,15.497
1994-05-06,7,27.96,0,6,13,7.4,19.637
1994-05-07,22,28.44,0,1,11,8.83,15.519
1994-05-08,6,29.86,0,2,4,7.79,15.329
1994-05-09,16,26.92,0,1,12,9.1,15.735
1994-05-10,21,28.33,0,3,9,8.85,15.302
1994-05-11,21,28.13,0,3,8,7.04,16.592
1994-05-12,21,29.22,0,5,7,8.74,18.597
1994-05-13,9,27.76,0,1,12,8.76,15.2
1994-05-14,13,27.7,0,2,6,9.72,14.284
1994-05-15,18,28.69,0,4,7,10.2,17.418
1994-05-16,18,27.05,0,1,8,6.35,14.568
1994-05-17,21,27.99,0,3,3,7.89,13.63
1994-05-18,23,29.16,0,6,9,8.11,20.909
1994-05-19,19,28.9,0,5,11,9.69,22.008
1994-05-20,17,30.46,0,4,8,6.72,18.751
1994-05-21,21,29.24,0,1,7,10.43,15.776
1994-05-22,8,28.65,0,1,15,8.17,18.617
1994-05-23,19,28.3,0,2,6,6.92,13.153
1994-05-24,21,29.01,0,3,14,10.0,20.465
1994-05-25,16,29.25,0,2,11,9.97,18.551
1994-05-26,19,28.64,0,5,14,9.73,20.801
1994-05-27,13,30.08,0,4,15,9.94,23.033
1994-05-28,17,30.23,0,6,6,8.78,21.333
1994-05-29,19,29.48,0,4,8,10.5,19.385
1994-05-30,17,29.2,0,3,5,9.4,15.505
1994-05-31,17,27.55,0,2,5,7.27,12.572
1994-06-01,20,28.81,1,5,3,7.72,17.866
1994-06-02,20,29.89,0,1,9,7.78,17.035
1994-06-03,20,30.87,0,4,14,6.04,22.034
1994-06-04,8,29.73,0,6,14,10.14,23.613
1994-06-05,21,27.81,0,6,9,8.7,18.4
1994-06-06,19,30.53,0,3,4,8.85,14.594
1994-06-07,9,29.88,0,2,10,9.11,19.021
1994-06-08,20,28.34,0,5,11,6.98,18.268
1994-06-09,15,27.22,0,1,8,6.71,13.441
1994-06-10,5,30.48,0,6,9,9.7,22.524
1994-06-11,8,29.83,0,5,15,11.12,26.478
1994-06-12,20,25.27,0,4,3,9.96,16.54
1994-06-13,8,29.2,0,4,12,6.3,20.295
1994-06-14,10,29.63,0,6,10,9.88,22.927
1994-06-15,14,30.84,0,3,5,7.86,15.896
1994-06-16,19,32.18,0,5,11,9.41,24.942
1994-06-17,15,27.89,0,1,6,8.77,11.221
1994-06-18,19,28.7,0,1,14,7.78,18.357
1994-06-19,18,30.23,0,4,7,10.88,21.907
1994-06-20,17,28.08,0,6,6,6.46,16.086
1994-06-21,20,29.51,0,2,4,8.75,13.9
1994-06-22,19,29.3,0,2,11,8.09,17.399
1994-06-23,19,32.52,0,2,7,8.61,23.634
1994-06-24,19,30.73,0,1,7,9.24,16.358
1994-06-25,22,28.84,0,1,3,9.56,12.045
1994-06-26,22,30.63,0,3,13,7.59,22.518
1994-06-27,23,30.66,0,5,13,8.53,22.94
1994-06-28,20,29.1,0,6,15,6.59,24.054
1994-06-29,17,29.98,0,1,8,9.37,17.653
1994-06-30,7,31.13,0,3,3,6.21,16.236
1994-07-01,18,30.12,0,1,4,7.69,12.638
1994-07-02,20,30.38,0,4,14,10.94,25.742
1994-07-03,9,26.3,0,6,8,9.62,20.856
1994-07-04,12,29.63,0,2,8,6.8,16.436
1994-07-05,18,28.75,0,3,6,7.42,14.072
1994-07-06,22,28.19,0,5,4,8.29,15.631
1994-07-07,22,28.6,0,5,3,7.98,15.47
1994-07-08,22,31.17,0,2,14,8.43,20.665
1994-07-09,21,28.14,0,3,7,8.15,16.193
1994-07-10,17,31.78,0,4,7,11.21,23.52
1994-07-11,19,28.24,0,5,6,7.1,14.913
1994-07-12,19,30.31,1,2,8,8.86,19.444
1994-07-13,11,30.95,0,2,5,9.03,16.878
1994-07-14,10,29.69,0,6,15,9.1,25.211
1994-07-15,19,30.6,0,2,8,9.07,17.1
1994-07-16,22,27.7,0,2,15,10.58,19.66
1994-07-17,14,31.58,0,5,13,10.7,26.265
1994-07-18,19,30.75,0,6,15,6.17,25.072
1994-07-19,22,31.18,0,6,8,9.52,24.253
1994-07-20,20,31.28,0,6,12,7.67,24.788
1994-07-21,19,30.75,0,5,7,8.26,20.453
1994-07-22,19,33.97,0,5,3,9.87,26.872
1994-07-23,11,30.85,0,4,5,10.77,20.309
1994-07-24,20,34.54,0,2,7,10.38,28.425
1994-07-25,17,31.89,0,1,3,8.05,15.573
1994-07-26,22,28.88,0,4,6,6.74,14.805
1994-07-27,21,31.51,0,3,8,6.63,20.516
1994-07-28,19,32.45,0,6,6,9.69,29.462
1994-07-29,21,27.93,0,4,15,7.26,19.705
1994-07-30,22,28.67,0,3,10,8.51,19.103
1994-07-31,13,31.4,0,1,11,8.86,19.943
1994-08-01,22,27.89,0,1,8,6.55,14.285
1994-08-02,20,31.32,0,3,6,6.24,18.344
1994-08-03,18,27.71,0,2,12,8.51,16.003
1994-08-04,10,29.69,0,6,13,7.52,22.133
1994-08-05,21,29.81,0,6,14,6.23,23.788
1994-08-06,5,31.96,0,5,8,7.87,24.567
1994-08-07,18,30.34,0,1,4,10.98,15.448
1994-08-08,17,30.61,0,4,13,9.48,23.73
1994-08-09,20,33.75,0,4,12,7.68,27.473
1994-08-10,18,32.84,0,2,5,6.37,19.371
1994-08-11,23,30.0,0,5,5,8.83,19.241
1994-08-12,22,31.19,0,5,3,8.91,20.629
1994-08-13,21,28.89,0,1,7,9.39,16.231
1994-08-14,17,28.66,0,5,9,9.22,17.328
1994-08-15,19,29.25,0,6,8,6.72,19.8
1994-08-16,21,31.32,0,1,12,7.99,18.718
1994-08-17,6,31.35,1,1,12,8.55,20.234
1994-08-18,7,33.22,0,1,10,7.99,25.504
1994-08-19,13,30.79,0,3,12,8.76,24.36
1994-08-20,20,31.82,0,4,3,8.18,20.107
1994-08-21,6,32.09,0,5,3,10.95,22.72
1994-08-22,19,29.87,0,6,3,9.41,18.487
1994-08-23,14,29.57,0,4,14,8.0,21.601
1994-08-24,7,31.54,0,6,3,7.91,20.992
1994-08-25,19,29.85,0,4,13,7.47,21.388
1994-08-26,17,32.15,0,5,6,7.0,19.391
1994-08-27,7,32.45,0,1,10,10.28,21.619
1994-08-28,8,30.62,0,4,3,7.69,18.793
1994-08-29,6,31.78,0,6,4,8.37,19.152
1994-08-30,19,29.9,0,2,10,9.96,19.964
1994-08-31,16,31.29,0,2,10,9.17,20.713
1994-09-01,22,28.36,0,2,6,8.22,15.038
1994-09-02,22,32.47,0,2,14,7.67,28.723
1994-09-03,22,32.32,0,3,6,9.61,21.633
1994-09-04,19,29.71,0,6,12,7.89,19.954
1994-09-05,6,30.8,0,1,11,8.53,19.533
1994-09-06,11,27.72,0,5,9,8.79,16.507
1994-09-07,14,31.0,0,3,8,9.02,17.785
1994-09-08,19,30.43,0,1,7,8.29,15.506
1994-09-09,8,28.98,0,5,10,8.63,18.78
1994-09-10,17,28.62,0,4,13,8.59,18.15
1994-09-11,17,29.09,0,2,4,9.87,16.165
1994-09-12,20,31.9,0,5,15,7.35,23.083
1994-09-13,21,27.04,0,3,9,7.47,16.716
1994-09-14,22,32.96,0,1,14,8.02,23.039
1994-09-15,20,31.31,0,1,13,7.53,19.163
1994-09-16,5,30.16,0,5,5,9.69,19.454
1994-09-17,18,28.25,0,4,5,10.78,16.939
1994-09-18,21,30.83,0,1,9,8.61,19.448
1994-09-19,21,28.4,1,1,9,10.07,14.829
1994-09-20,18,26.74,0,3,12,9.35,16.797
1994-09-21,20,28.53,0,6,5,6.65,16.563
1994-09-22,7,28.86,0,3,8,9.65,15.958
1994-09-23,15,29.57,0,4,11,8.56,22.003
1994-09-24,21,28.16,0,1,5,9.01,13.376
1994-09-25,17,29.6,0,1,8,8.86,16.414
1994-09-26,18,30.63,1,4,8,8.78,22.94
1994-09-27,20,32.69,0,1,11,9.8,24.44
1994-09-28,13,29.71,0,5,6,6.12,18.155
1994-09-29,19,31.58,0,2,9,8.42,22.331
1994-09-30,23,29.59,0,1,4,6.06,11.827
1994-10-01,20,31.38,0,3,10,9.98,22.949
1994-10-02,17,26.49,0,6,7,8.28,18.525
1994-10-03,22,30.77,0,2,5,7.8,16.251
1994-10-04,7,28.85,0,5,14,7.18,19.019
1994-10-05,22,29.99,1,6,15,11.3,28.546
1994-10-06,5,28.96,0,5,9,6.58,16.284
1994-10-07,15,29.74,0,1,7,9.55,15.495
1994-10-08,14,28.38,0,3,4,8.29,16.257
1994-10-09,20,29.45,0,3,14,11.34,21.444
1994-10-10,20,29.18,0,6,12,7.37,24.205
1994-10-11,18,29.79,0,4,9,9.55,18.508
1994-10-12,18,27.35,0,4,10,9.29,19.026
1994-10-13,21,28.62,0,6,10,9.45,22.286
1994-10-14,17,29.18,1,6,3,10.89,19.972
1994-10-15,8,29.74,0,3,12,9.31,18.72
1994-10-16,18,30.19,0,3,12,10.86,22.737
1994-10-17,16,30.35,0,2,9,9.22,16.711
1994-10-18,20,26.04,0,1,6,7.79,10.638
1994-10-19,18,27.48,0,2,9,7.89,14.235
1994-10-20,21,27.44,0,5,10,6.61,17.658
1994-10-21,19,30.45,0,3,6,8.69,16.446
1994-10-22,21,28.29,0,4,3,11.45,17.31
1994-10-23,21,30.14,0,4,3,9.07,18.304
1994-10-24,21,28.16,0,5,12,8.84,19.957
1994-10-25,6,30.71,0,3,5,8.57,15.373
1994-10-26,9,30.13,0,2,15,8.01,20.926
1994-10-27,21,26.74,0,4,9,9.23,17.013
1994-10-28,21,25.98,0,3,13,6.55,17.177
1994-10-29,20,28.05,0,5,6,9.72,18.889
1994-10-30,15,27.67,0,2,3,10.33,12.353
1994-10-31,19,28.67,0,4,5,9.06,14.393
1994-11-01,19,28.16,0,5,13,6.13,17.318
1994-11-02,22,25.98,0,1,4,9.53,12.266
1994-11-03,14,28.6,0,6,10,8.61,21.217
1994-11-04,17,26.15,0,1,3,9.78,11.425
1994-11-05,8,23.48,0,5,6,10.7,19.276
1994-11-06,17,27.62,0,4,7,10.09,18.108
1994-11-07,17,29.25,0,2,13,8.55,16.6
1994-11-08,13,27.92,0,2,11,8.16,18.0
1994-11-09,19,25.71,0,3,8,9.95,15.695
1994-11-10,11,27.52,0,6,7,8.72,19.504
1994-11-11,20,26.24,0,6,8,6.48,18.613
1994-11-12,18,29.22,0,5,5,8.16,16.963
1994-11-13,17,28.02,0,6,8,9.73,21.689
1994-11-14,16,25.6,0,1,15,7.15,15.96
1994-11-15,21,24.93,0,1,15,7.86,16.246
1994-11-16,18,24.58,0,1,5,7.8,11.823
1994-11-17,20,26.9,0,5,15,7.08,21.414
1994-11-18,21,26.53,0,3,8,7.75,15.676
1994-11-19,17,28.79,0,2,10,10.57,18.398
1994-11-20,10,26.28,0,2,13,8.78,17.987
1994-11-21,21,28.76,0,6,5,7.83,16.965
1994-11-22,22,27.93,0,4,4,7.66,13.344
1994-11-23,17,25.74,0,3,5,8.49,14.108
1994-11-24,18,24.92,0,6,5,7.1,16.159
1994-11-25,17,26.14,0,4,5,8.2,15.488
1994-11-26,21,24.6,0,3,3,11.27,15.038
1994-11-27,16,29.63,0,1,10,9.94,17.02
1994-11-28,17,28.3,0,3,5,8.49,14.779
1994-11-29,23,27.14,0,3,8,7.52,16.118
1994-11-30,21,27.63,0,3,14,8.27,18.132
1994-12-01,19,27.9,0,1,4,6.62,11.451
1994-12-02,22,27.05,0,2,12,10.0,16.97
1994-12-03,16,25.31,0,1,5,10.24,16.155
1994-12-04,18,24.98,0,4,10,8.33,19.391
1994-12-05,18,23.81,0,6,12,6.34,19.823
1994-12-06,20,23.18,0,6,5,9.26,17.372
1994-12-07,20,27.85,0,2,10,9.83,16.628
1994-12-08,18,27.24,0,2,4,9.65,13.116
1994-12-09,9,26.3,0,3,7,9.66,14.853
1994-12-10,19,24.59,0,5,10,8.53,19.115
1994-12-11,8,24.26,0,2,15,9.38,19.961
1994-12-12,17,28.05,0,6,9,9.28,21.757
1994-12-13,20,26.3,0,5,5,7.11,16.677
1994-12-14,22,29.02,0,5,6,6.24,15.186
